price,vol,time
7.4,15475,09:31
7.43,6073,09:32
7.46,3560,09:33
7.48,3127,09:34
7.54,1621,09:35
7.54,1843,09:36
7.44,3158,09:37
7.42,5257,09:38
7.42,3724,09:39
7.37,8327,09:40
7.4,7214,09:41
7.47,2408,09:42
7.48,3069,09:43
7.55,2648,09:44
7.58,4384,09:45
7.54,3220,09:46
7.57,3021,09:47
7.62,4945,09:48
7.62,4717,09:49
7.59,3140,09:50
7.59,1317,09:51
7.58,1241,09:52
7.61,1479,09:53
7.67,4032,09:54
7.65,4482,09:55
7.61,2930,09:56
7.69,5539,09:57
7.81,12530,09:58
7.75,14428,09:59
7.81,7758,10:00
7.76,6761,10:01
7.84,6322,10:02
7.83,10151,10:03
7.76,5038,10:04
7.79,1968,10:05
7.78,3365,10:06
7.76,2056,10:07
7.74,1521,10:08
7.72,1102,10:09
7.75,1328,10:10
7.76,1638,10:11
7.7,2399,10:12
7.72,1169,10:13
7.7,1741,10:14
7.71,1190,10:15
7.73,649,10:16
7.74,1519,10:17
7.75,1058,10:18
7.73,903,10:19
7.71,1461,10:20
7.7,2031,10:21
7.65,1552,10:22
7.7,2622,10:23
7.71,748,10:24
7.71,1028,10:25
7.71,744,10:26
7.69,457,10:27
7.68,2012,10:28
7.67,268,10:29
7.68,590,10:30
7.7,623,10:31
7.72,996,10:32
7.76,1458,10:33
7.75,1121,10:34
7.72,751,10:35
7.73,492,10:36
7.72,598,10:37
7.72,377,10:38
7.7,707,10:39
7.7,435,10:40
7.68,755,10:41
7.7,1258,10:42
7.7,557,10:43
7.69,167,10:44
7.7,166,10:45
7.69,667,10:46
7.72,1241,10:47
7.76,1473,10:48
7.73,821,10:49
7.71,516,10:50
7.71,289,10:51
7.71,496,10:52
7.71,709,10:53
7.71,409,10:54
7.71,521,10:55
7.72,618,10:56
7.73,725,10:57
7.74,819,10:58
7.74,1226,10:59
7.72,467,11:00
7.72,295,11:01
7.75,1309,11:02
7.76,1274,11:03
7.77,912,11:04
7.75,1607,11:05
7.75,599,11:06
7.75,885,11:07
7.75,935,11:08
7.74,615,11:09
7.74,308,11:10
7.74,352,11:11
7.75,567,11:12
7.75,440,11:13
7.75,971,11:14
7.75,599,11:15
7.74,1012,11:16
7.71,969,11:17
7.7,1333,11:18
7.7,339,11:19
7.7,547,11:20
7.68,1379,11:21
7.67,477,11:22
7.67,915,11:23
7.67,360,11:24
7.67,1124,11:25
7.7,342,11:26
7.69,172,11:27
7.68,830,11:28
7.68,418,11:29
7.67,589,11:30
7.67,640,13:01
7.66,417,13:02
7.68,231,13:03
7.67,149,13:04
7.66,469,13:05
7.65,587,13:06
7.64,1083,13:07
7.61,580,13:08
7.6,2650,13:09
7.58,806,13:10
7.6,787,13:11
7.63,356,13:12
7.65,1367,13:13
7.66,912,13:14
7.6,1128,13:15
7.6,821,13:16
7.55,2746,13:17
7.55,1940,13:18
7.57,1612,13:19
7.6,645,13:20
7.61,953,13:21
7.61,827,13:22
7.62,1229,13:23
7.65,1384,13:24
7.64,526,13:25
7.62,428,13:26
7.62,805,13:27
7.63,378,13:28
7.62,325,13:29
7.62,357,13:30
7.61,277,13:31
7.62,407,13:32
7.6,1147,13:33
7.6,746,13:34
7.56,1775,13:35
7.56,2860,13:36
7.59,2167,13:37
7.59,1223,13:38
7.58,1566,13:39
7.6,575,13:40
7.6,1598,13:41
7.61,510,13:42
7.62,726,13:43
7.66,1224,13:44
7.67,776,13:45
7.68,1193,13:46
7.69,891,13:47
7.73,1339,13:48
7.74,1600,13:49
7.7,743,13:50
7.7,635,13:51
7.69,255,13:52
7.67,553,13:53
7.68,188,13:54
7.68,90,13:55
7.69,245,13:56
7.7,523,13:57
7.69,646,13:58
7.68,108,13:59
7.68,381,14:00
7.68,482,14:01
7.67,431,14:02
7.66,634,14:03
7.66,252,14:04
7.65,776,14:05
7.64,809,14:06
7.62,837,14:07
7.65,170,14:08
7.64,211,14:09
7.63,141,14:10
7.65,474,14:11
7.65,334,14:12
7.65,415,14:13
7.65,111,14:14
7.66,613,14:15
7.65,467,14:16
7.67,506,14:17
7.67,563,14:18
7.68,151,14:19
7.7,541,14:20
7.69,917,14:21
7.71,832,14:22
7.71,743,14:23
7.74,1024,14:24
7.74,806,14:25
7.72,1232,14:26
7.7,549,14:27
7.72,520,14:28
7.73,532,14:29
7.73,967,14:30
7.72,705,14:31
7.7,756,14:32
7.71,732,14:33
7.71,888,14:34
7.72,577,14:35
7.73,1417,14:36
7.74,433,14:37
7.73,608,14:38
7.72,646,14:39
7.73,889,14:40
7.71,2223,14:41
7.66,2207,14:42
7.68,644,14:43
7.68,1301,14:44
7.69,856,14:45
7.68,490,14:46
7.67,962,14:47
7.66,678,14:48
7.67,1508,14:49
7.67,1845,14:50
7.71,2431,14:51
7.72,1514,14:52
7.71,1100,14:53
7.71,1220,14:54
7.72,1053,14:55
7.71,1397,14:56
7.7,2115,14:57
7.72,1762,14:58
7.71,3404,14:59
7.72,2514,15:00
