price,vol,time
20.1,1612,09:31
20.3,2313,09:32
20.24,272,09:33
20.28,847,09:34
20.24,88,09:35
20.12,550,09:36
20.06,1391,09:37
19.97,883,09:38
19.91,848,09:39
20.1,1228,09:40
20.0,442,09:41
20.01,522,09:42
20.05,280,09:43
20.12,336,09:44
20.18,44,09:45
20.1,77,09:46
20.18,271,09:47
20.35,508,09:48
20.36,581,09:49
20.32,151,09:50
20.23,136,09:51
20.3,275,09:52
20.2,29,09:53
20.2,57,09:54
20.17,102,09:55
20.08,380,09:56
20.08,132,09:57
20.08,178,09:58
20.01,258,09:59
20.06,634,10:00
20.11,308,10:01
20.13,24,10:02
20.2,62,10:03
20.18,47,10:04
20.21,169,10:05
20.2,306,10:06
20.21,188,10:07
20.27,343,10:08
20.19,97,10:09
20.16,160,10:10
20.13,137,10:11
20.14,98,10:12
20.15,68,10:13
20.19,73,10:14
20.18,218,10:15
20.14,172,10:16
20.06,36,10:17
20.1,43,10:18
20.08,34,10:19
20.05,54,10:20
20.09,115,10:21
20.08,19,10:22
20.14,75,10:23
20.22,86,10:24
20.22,227,10:25
20.18,52,10:26
20.18,93,10:27
20.07,559,10:28
19.99,153,10:29
20.02,233,10:30
20.0,77,10:31
20.1,327,10:32
20.09,25,10:33
20.05,51,10:34
20.02,433,10:35
20.04,132,10:36
20.04,40,10:37
20.02,8,10:38
20.04,183,10:39
20.0,15,10:40
20.01,78,10:41
20.03,87,10:42
20.02,41,10:43
20.01,53,10:44
20.03,72,10:45
20.04,51,10:46
20.03,64,10:47
20.01,115,10:48
19.99,260,10:49
20.01,189,10:50
20.02,384,10:51
20.05,79,10:52
20.05,40,10:53
20.03,459,10:54
20.05,7,10:55
20.03,75,10:56
20.02,50,10:57
20.02,101,10:58
20.0,103,10:59
20.01,78,11:00
20.02,68,11:01
19.98,227,11:02
19.98,206,11:03
19.97,76,11:04
20.01,47,11:05
19.99,53,11:06
20.01,66,11:07
20.03,37,11:08
20.06,57,11:09
20.02,20,11:10
20.06,69,11:11
20.03,47,11:12
20.06,86,11:13
20.06,37,11:14
20.06,87,11:15
20.04,89,11:16
20.02,74,11:17
20.05,111,11:18
20.04,66,11:19
20.06,53,11:20
20.03,8,11:21
20.08,73,11:22
20.05,34,11:23
20.08,102,11:24
20.09,21,11:25
20.09,86,11:26
20.08,213,11:27
20.06,38,11:28
20.07,84,11:29
20.05,56,11:30
20.03,95,13:01
20.01,15,13:02
20.04,120,13:03
20.02,29,13:04
20.05,79,13:05
20.03,20,13:06
20.06,60,13:07
20.04,42,13:08
20.04,54,13:09
20.03,31,13:10
20.02,23,13:11
20.05,43,13:12
20.03,19,13:13
20.05,43,13:14
20.05,29,13:15
20.06,512,13:16
20.09,574,13:17
20.1,314,13:18
20.05,73,13:19
20.08,65,13:20
20.08,26,13:21
20.08,38,13:22
20.1,113,13:23
20.1,17,13:24
20.1,45,13:25
20.09,18,13:26
20.1,162,13:27
20.12,23,13:28
20.13,58,13:29
20.13,7,13:30
20.14,101,13:31
20.19,199,13:32
20.25,866,13:33
20.29,331,13:34
20.2,305,13:35
20.2,356,13:36
20.2,286,13:37
20.18,105,13:38
20.2,44,13:39
20.2,105,13:40
20.18,61,13:41
20.15,108,13:42
20.12,75,13:43
20.11,83,13:44
20.12,73,13:45
20.12,3,13:46
20.11,1,13:47
20.12,45,13:48
20.11,32,13:49
20.09,135,13:50
20.09,168,13:51
20.09,20,13:52
20.1,7,13:53
20.09,66,13:54
20.1,110,13:55
20.1,14,13:56
20.11,21,13:57
20.11,30,13:58
20.09,100,13:59
20.1,112,14:00
20.1,11,14:01
20.11,22,14:02
20.11,10,14:03
20.11,0,14:04
20.09,58,14:05
20.09,15,14:06
20.1,1,14:07
20.1,24,14:08
20.1,15,14:09
20.08,88,14:10
20.05,87,14:11
20.07,15,14:12
20.06,44,14:13
20.05,53,14:14
20.05,118,14:15
20.04,89,14:16
20.02,242,14:17
20.03,22,14:18
20.03,2,14:19
20.04,46,14:20
20.04,13,14:21
20.03,90,14:22
20.07,67,14:23
20.07,89,14:24
20.07,22,14:25
20.06,9,14:26
20.05,75,14:27
20.06,14,14:28
20.05,16,14:29
20.06,38,14:30
20.05,97,14:31
20.07,55,14:32
20.06,51,14:33
20.06,6,14:34
20.06,49,14:35
20.06,27,14:36
20.07,43,14:37
20.06,85,14:38
20.05,278,14:39
20.03,153,14:40
20.05,60,14:41
20.03,344,14:42
20.03,137,14:43
20.02,168,14:44
20.01,205,14:45
20.01,71,14:46
20.03,283,14:47
20.05,149,14:48
20.03,53,14:49
20.02,197,14:50
20.02,263,14:51
20.03,76,14:52
20.01,410,14:53
20.0,683,14:54
19.99,323,14:55
19.98,432,14:56
20.0,439,14:57
20.0,50,14:58
20.0,0,14:59
20.06,387,15:00
