price,vol,time
8.03,2536,09:31
8.05,1325,09:32
8.03,3736,09:33
8.01,878,09:34
8.0,874,09:35
8.0,1164,09:36
7.99,1839,09:37
8.01,1938,09:38
8.06,1690,09:39
8.07,2560,09:40
8.07,2798,09:41
8.03,1899,09:42
8.02,3164,09:43
8.02,850,09:44
8.01,1044,09:45
8.02,683,09:46
8.05,1347,09:47
8.02,1282,09:48
8.02,585,09:49
8.04,734,09:50
8.01,1405,09:51
7.98,2477,09:52
7.96,3656,09:53
7.91,1498,09:54
7.91,1930,09:55
7.93,890,09:56
7.93,1227,09:57
7.9,2326,09:58
7.89,1159,09:59
7.89,1599,10:00
7.87,2004,10:01
7.86,2120,10:02
7.87,1349,10:03
7.88,1883,10:04
7.89,1872,10:05
7.89,631,10:06
7.9,1366,10:07
7.88,876,10:08
7.89,694,10:09
7.89,498,10:10
7.88,1701,10:11
7.87,1214,10:12
7.89,590,10:13
7.89,339,10:14
7.88,452,10:15
7.88,1224,10:16
7.89,167,10:17
7.89,801,10:18
7.9,776,10:19
7.9,419,10:20
7.91,142,10:21
7.91,421,10:22
7.91,242,10:23
7.91,501,10:24
7.92,275,10:25
7.91,142,10:26
7.91,237,10:27
7.9,994,10:28
7.89,2622,10:29
7.9,1527,10:30
7.91,893,10:31
7.9,544,10:32
7.91,251,10:33
7.89,420,10:34
7.88,716,10:35
7.89,334,10:36
7.89,358,10:37
7.88,1462,10:38
7.88,607,10:39
7.88,838,10:40
7.88,413,10:41
7.88,1042,10:42
7.91,1535,10:43
7.9,191,10:44
7.89,1368,10:45
7.89,190,10:46
7.89,193,10:47
7.84,5792,10:48
7.83,2814,10:49
7.84,770,10:50
7.85,668,10:51
7.85,1670,10:52
7.85,594,10:53
7.85,603,10:54
7.86,195,10:55
7.85,1369,10:56
7.83,1877,10:57
7.83,865,10:58
7.84,923,10:59
7.85,1315,11:00
7.88,930,11:01
7.91,969,11:02
7.96,3426,11:03
7.98,2478,11:04
8.0,1788,11:05
7.98,714,11:06
7.98,671,11:07
7.98,828,11:08
8.05,2215,11:09
8.05,3805,11:10
8.04,4848,11:11
8.02,364,11:12
8.03,1366,11:13
8.04,979,11:14
8.06,1616,11:15
8.07,3360,11:16
8.01,6028,11:17
8.05,3382,11:18
8.07,1111,11:19
8.05,860,11:20
8.07,419,11:21
8.07,1007,11:22
8.07,398,11:23
8.04,673,11:24
8.06,357,11:25
8.05,419,11:26
8.05,564,11:27
8.05,1339,11:28
8.05,1553,11:29
8.03,262,11:30
8.02,469,13:01
8.01,793,13:02
8.02,427,13:03
8.02,343,13:04
8.01,442,13:05
8.01,703,13:06
8.0,221,13:07
8.01,295,13:08
8.0,194,13:09
8.02,220,13:10
8.03,72,13:11
8.04,356,13:12
8.02,29,13:13
8.02,271,13:14
8.01,373,13:15
8.01,1120,13:16
8.01,729,13:17
8.0,628,13:18
7.98,726,13:19
7.98,205,13:20
7.96,475,13:21
7.96,538,13:22
7.97,47,13:23
7.99,202,13:24
8.01,132,13:25
8.0,184,13:26
8.01,239,13:27
8.01,261,13:28
8.01,716,13:29
8.04,687,13:30
8.04,313,13:31
8.04,306,13:32
8.03,808,13:33
8.03,649,13:34
8.04,401,13:35
8.03,369,13:36
8.03,365,13:37
8.02,180,13:38
8.03,516,13:39
8.03,1706,13:40
8.04,571,13:41
8.03,85,13:42
8.03,86,13:43
8.02,54,13:44
8.01,291,13:45
8.01,120,13:46
8.02,164,13:47
8.04,295,13:48
8.05,1039,13:49
8.03,28,13:50
8.04,68,13:51
8.03,202,13:52
8.04,1270,13:53
8.05,597,13:54
8.04,688,13:55
8.04,133,13:56
8.03,595,13:57
8.03,880,13:58
8.02,1548,13:59
7.99,277,14:00
8.0,351,14:01
7.99,134,14:02
8.0,154,14:03
8.0,1032,14:04
8.0,714,14:05
7.98,871,14:06
7.96,1074,14:07
7.94,1049,14:08
7.95,846,14:09
7.93,1045,14:10
7.93,2684,14:11
7.94,753,14:12
7.97,281,14:13
7.95,373,14:14
7.95,731,14:15
7.94,473,14:16
7.94,266,14:17
7.93,305,14:18
7.92,665,14:19
7.92,1280,14:20
7.91,897,14:21
7.9,433,14:22
7.91,310,14:23
7.91,221,14:24
7.9,246,14:25
7.91,413,14:26
7.92,223,14:27
7.92,342,14:28
7.95,811,14:29
7.94,607,14:30
7.96,661,14:31
7.96,1064,14:32
7.95,10,14:33
7.94,46,14:34
7.97,1689,14:35
7.96,192,14:36
7.96,343,14:37
7.95,142,14:38
7.95,161,14:39
7.95,156,14:40
7.95,427,14:41
7.95,1400,14:42
7.95,1348,14:43
7.96,205,14:44
7.96,74,14:45
7.96,224,14:46
7.96,465,14:47
7.95,736,14:48
7.94,612,14:49
7.94,438,14:50
7.93,678,14:51
7.93,1023,14:52
7.92,642,14:53
7.91,1658,14:54
7.9,1685,14:55
7.91,1648,14:56
7.93,958,14:57
7.93,1267,14:58
7.92,1155,14:59
7.93,928,15:00
