price,vol,time
5.26,23685,09:31
5.23,12380,09:32
5.25,7388,09:33
5.23,10823,09:34
5.3,11611,09:35
5.26,6020,09:36
5.26,4993,09:37
5.26,3560,09:38
5.26,6191,09:39
5.24,3185,09:40
5.25,5318,09:41
5.23,7884,09:42
5.3,6580,09:43
5.23,1411,09:44
5.24,1947,09:45
5.23,4125,09:46
5.22,2889,09:47
5.22,2854,09:48
5.24,1876,09:49
5.22,3334,09:50
5.26,2697,09:51
5.25,1658,09:52
5.24,2601,09:53
5.23,998,09:54
5.23,1939,09:55
5.22,2074,09:56
5.21,5649,09:57
5.24,2694,09:58
5.23,1862,09:59
5.24,1007,10:00
5.24,1902,10:01
5.24,1833,10:02
5.23,1084,10:03
5.25,3544,10:04
5.26,557,10:05
5.24,1072,10:06
5.23,862,10:07
5.24,1093,10:08
5.23,2211,10:09
5.21,6454,10:10
5.22,2390,10:11
5.22,1012,10:12
5.22,1448,10:13
5.22,1715,10:14
5.23,3195,10:15
5.23,741,10:16
5.23,1215,10:17
5.2,2661,10:18
5.21,1755,10:19
5.22,987,10:20
5.21,1426,10:21
5.2,1974,10:22
5.2,2930,10:23
5.19,9474,10:24
5.19,4323,10:25
5.2,1892,10:26
5.21,2761,10:27
5.2,441,10:28
5.19,1067,10:29
5.19,4294,10:30
5.19,1321,10:31
5.2,1903,10:32
5.2,1136,10:33
5.2,1348,10:34
5.21,977,10:35
5.2,345,10:36
5.2,739,10:37
5.2,231,10:38
5.2,890,10:39
5.19,1132,10:40
5.19,691,10:41
5.19,784,10:42
5.19,1377,10:43
5.19,1621,10:44
5.19,816,10:45
5.2,836,10:46
5.19,935,10:47
5.19,624,10:48
5.2,1985,10:49
5.2,1263,10:50
5.19,349,10:51
5.2,950,10:52
5.21,495,10:53
5.2,968,10:54
5.21,678,10:55
5.2,466,10:56
5.2,729,10:57
5.2,347,10:58
5.21,774,10:59
5.21,188,11:00
5.21,766,11:01
5.21,1287,11:02
5.19,700,11:03
5.21,196,11:04
5.2,705,11:05
5.2,249,11:06
5.2,721,11:07
5.21,591,11:08
5.2,547,11:09
5.2,501,11:10
5.2,238,11:11
5.2,366,11:12
5.2,109,11:13
5.2,1369,11:14
5.2,220,11:15
5.2,909,11:16
5.2,670,11:17
5.19,351,11:18
5.19,435,11:19
5.2,316,11:20
5.2,236,11:21
5.19,882,11:22
5.19,349,11:23
5.19,443,11:24
5.2,430,11:25
5.2,731,11:26
5.2,474,11:27
5.19,218,11:28
5.2,520,11:29
5.2,111,11:30
5.21,1549,13:01
5.21,480,13:02
5.2,699,13:03
5.2,501,13:04
5.2,307,13:05
5.2,472,13:06
5.19,277,13:07
5.19,1087,13:08
5.19,261,13:09
5.2,276,13:10
5.19,2472,13:11
5.19,787,13:12
5.19,809,13:13
5.18,1889,13:14
5.18,1806,13:15
5.18,2550,13:16
5.17,1334,13:17
5.17,2281,13:18
5.17,2039,13:19
5.18,2239,13:20
5.2,3017,13:21
5.18,819,13:22
5.2,634,13:23
5.19,463,13:24
5.2,772,13:25
5.2,364,13:26
5.2,243,13:27
5.2,339,13:28
5.2,316,13:29
5.19,568,13:30
5.19,1438,13:31
5.18,162,13:32
5.19,2660,13:33
5.2,436,13:34
5.19,930,13:35
5.19,244,13:36
5.19,589,13:37
5.18,1919,13:38
5.19,211,13:39
5.19,316,13:40
5.19,1833,13:41
5.19,259,13:42
5.19,2920,13:43
5.18,850,13:44
5.19,188,13:45
5.18,442,13:46
5.18,280,13:47
5.19,1509,13:48
5.2,2531,13:49
5.21,495,13:50
5.21,608,13:51
5.21,294,13:52
5.2,342,13:53
5.2,645,13:54
5.2,508,13:55
5.2,104,13:56
5.2,284,13:57
5.2,592,13:58
5.2,692,13:59
5.21,239,14:00
5.22,693,14:01
5.21,373,14:02
5.21,1546,14:03
5.21,577,14:04
5.21,387,14:05
5.19,3603,14:06
5.21,621,14:07
5.2,736,14:08
5.21,289,14:09
5.2,499,14:10
5.21,1083,14:11
5.24,3069,14:12
5.3,15435,14:13
5.29,6809,14:14
5.35,6877,14:15
5.37,14830,14:16
5.4,20272,14:17
5.37,6120,14:18
5.43,7210,14:19
5.38,8570,14:20
5.41,6585,14:21
5.39,5048,14:22
5.37,1927,14:23
5.39,3137,14:24
5.42,6409,14:25
5.43,6961,14:26
5.42,5236,14:27
5.39,7068,14:28
5.41,2326,14:29
5.39,3793,14:30
5.38,2270,14:31
5.37,1762,14:32
5.35,2495,14:33
5.34,2612,14:34
5.36,913,14:35
5.37,1688,14:36
5.38,1339,14:37
5.37,3230,14:38
5.4,5584,14:39
5.38,1345,14:40
5.39,875,14:41
5.4,2984,14:42
5.38,1528,14:43
5.39,1600,14:44
5.39,843,14:45
5.38,2900,14:46
5.39,3205,14:47
5.38,3350,14:48
5.39,1215,14:49
5.39,2660,14:50
5.38,2436,14:51
5.38,2922,14:52
5.37,3639,14:53
5.37,1480,14:54
5.37,1227,14:55
5.38,1486,14:56
5.37,2951,14:57
5.37,105,14:58
5.37,0,14:59
5.36,5482,15:00
