price,vol,time
4.61,22533,09:31
4.63,11625,09:32
4.56,14569,09:33
4.6,12624,09:34
4.62,4658,09:35
4.6,6723,09:36
4.62,4487,09:37
4.61,5193,09:38
4.6,2854,09:39
4.58,3427,09:40
4.63,6288,09:41
4.65,3931,09:42
4.71,15282,09:43
4.7,9693,09:44
4.71,10371,09:45
4.69,7949,09:46
4.7,10882,09:47
4.7,10314,09:48
4.71,7862,09:49
4.7,6061,09:50
4.74,12795,09:51
4.8,20612,09:52
4.77,12009,09:53
4.8,14621,09:54
4.81,16581,09:55
4.81,5428,09:56
4.78,5228,09:57
4.79,6295,09:58
4.77,4549,09:59
4.78,4923,10:00
4.8,3803,10:01
4.8,6497,10:02
4.78,4371,10:03
4.77,1611,10:04
4.77,2867,10:05
4.78,2476,10:06
4.79,2971,10:07
4.79,2237,10:08
4.77,4122,10:09
4.77,3107,10:10
4.78,770,10:11
4.78,5525,10:12
4.79,4875,10:13
4.79,1363,10:14
4.79,1652,10:15
4.78,2568,10:16
4.78,1421,10:17
4.76,1980,10:18
4.76,1956,10:19
4.74,2838,10:20
4.76,3410,10:21
4.75,470,10:22
4.75,1982,10:23
4.75,1120,10:24
4.74,1343,10:25
4.73,990,10:26
4.73,928,10:27
4.73,1409,10:28
4.72,1254,10:29
4.73,1534,10:30
4.73,1262,10:31
4.72,546,10:32
4.72,958,10:33
4.73,725,10:34
4.74,767,10:35
4.74,496,10:36
4.72,2256,10:37
4.72,1209,10:38
4.73,2492,10:39
4.7,3272,10:40
4.72,2948,10:41
4.72,1101,10:42
4.71,1017,10:43
4.7,922,10:44
4.7,2512,10:45
4.7,2400,10:46
4.7,758,10:47
4.72,1284,10:48
4.72,1427,10:49
4.73,1170,10:50
4.73,1301,10:51
4.73,732,10:52
4.72,745,10:53
4.73,555,10:54
4.73,289,10:55
4.74,3524,10:56
4.74,1231,10:57
4.74,1118,10:58
4.73,1895,10:59
4.73,520,11:00
4.75,1542,11:01
4.74,748,11:02
4.74,339,11:03
4.75,258,11:04
4.74,1060,11:05
4.74,392,11:06
4.74,731,11:07
4.73,317,11:08
4.72,1316,11:09
4.72,2883,11:10
4.72,257,11:11
4.71,629,11:12
4.72,1159,11:13
4.71,766,11:14
4.71,307,11:15
4.72,582,11:16
4.72,171,11:17
4.72,1264,11:18
4.74,531,11:19
4.74,54,11:20
4.73,1064,11:21
4.72,160,11:22
4.72,199,11:23
4.71,632,11:24
4.72,612,11:25
4.72,409,11:26
4.74,480,11:27
4.73,127,11:28
4.73,326,11:29
4.73,714,11:30
4.73,2451,13:01
4.73,857,13:02
4.73,764,13:03
4.74,456,13:04
4.74,606,13:05
4.74,568,13:06
4.73,586,13:07
4.72,648,13:08
4.72,1240,13:09
4.71,688,13:10
4.7,1161,13:11
4.7,807,13:12
4.69,2443,13:13
4.7,1343,13:14
4.69,1089,13:15
4.69,266,13:16
4.69,836,13:17
4.71,621,13:18
4.71,104,13:19
4.71,341,13:20
4.71,566,13:21
4.7,266,13:22
4.7,503,13:23
4.69,359,13:24
4.69,602,13:25
4.69,1289,13:26
4.69,4238,13:27
4.76,6690,13:28
4.75,1230,13:29
4.77,3941,13:30
4.77,10148,13:31
4.76,870,13:32
4.76,584,13:33
4.76,1568,13:34
4.77,2115,13:35
4.75,1765,13:36
4.75,234,13:37
4.75,1851,13:38
4.73,765,13:39
4.73,1331,13:40
4.74,1725,13:41
4.74,183,13:42
4.73,511,13:43
4.74,550,13:44
4.74,506,13:45
4.73,396,13:46
4.73,1369,13:47
4.73,395,13:48
4.73,825,13:49
4.73,405,13:50
4.72,1099,13:51
4.71,743,13:52
4.71,1004,13:53
4.71,1705,13:54
4.71,528,13:55
4.72,418,13:56
4.72,479,13:57
4.71,753,13:58
4.71,639,13:59
4.71,511,14:00
4.7,830,14:01
4.71,569,14:02
4.71,981,14:03
4.69,657,14:04
4.7,559,14:05
4.7,1425,14:06
4.69,728,14:07
4.7,643,14:08
4.7,485,14:09
4.69,1000,14:10
4.69,2222,14:11
4.68,1249,14:12
4.69,321,14:13
4.68,890,14:14
4.69,416,14:15
4.69,529,14:16
4.69,369,14:17
4.68,865,14:18
4.68,935,14:19
4.67,4593,14:20
4.69,4021,14:21
4.69,822,14:22
4.7,215,14:23
4.69,377,14:24
4.7,354,14:25
4.69,427,14:26
4.69,939,14:27
4.7,717,14:28
4.69,292,14:29
4.69,1160,14:30
4.68,1316,14:31
4.67,976,14:32
4.67,1464,14:33
4.68,917,14:34
4.67,328,14:35
4.67,268,14:36
4.67,1145,14:37
4.66,3036,14:38
4.66,2018,14:39
4.69,2702,14:40
4.68,676,14:41
4.68,380,14:42
4.7,1050,14:43
4.7,1123,14:44
4.7,871,14:45
4.71,741,14:46
4.7,674,14:47
4.7,361,14:48
4.7,1015,14:49
4.7,425,14:50
4.7,819,14:51
4.7,3024,14:52
4.71,636,14:53
4.7,2327,14:54
4.71,2259,14:55
4.75,3086,14:56
4.77,8035,14:57
4.76,135,14:58
4.76,0,14:59
4.77,8025,15:00
