price,vol,time
5.48,5623,09:31
5.52,2233,09:32
5.5,3411,09:33
5.45,1421,09:34
5.41,2220,09:35
5.42,4236,09:36
5.46,854,09:37
5.49,1222,09:38
5.51,1171,09:39
5.5,1067,09:40
5.49,1525,09:41
5.48,1873,09:42
5.46,1361,09:43
5.47,737,09:44
5.48,147,09:45
5.48,273,09:46
5.49,417,09:47
5.5,531,09:48
5.5,378,09:49
5.48,456,09:50
5.49,619,09:51
5.48,590,09:52
5.46,775,09:53
5.41,2315,09:54
5.43,973,09:55
5.44,574,09:56
5.45,288,09:57
5.45,553,09:58
5.45,715,09:59
5.45,592,10:00
5.46,517,10:01
5.5,1012,10:02
5.5,427,10:03
5.49,550,10:04
5.48,699,10:05
5.45,1062,10:06
5.45,529,10:07
5.46,413,10:08
5.47,187,10:09
5.46,327,10:10
5.48,205,10:11
5.48,259,10:12
5.47,386,10:13
5.46,801,10:14
5.46,332,10:15
5.45,601,10:16
5.46,210,10:17
5.48,214,10:18
5.48,505,10:19
5.5,345,10:20
5.48,570,10:21
5.48,1184,10:22
5.49,549,10:23
5.49,272,10:24
5.49,261,10:25
5.51,323,10:26
5.49,154,10:27
5.51,269,10:28
5.52,464,10:29
5.53,311,10:30
5.51,203,10:31
5.5,394,10:32
5.49,830,10:33
5.49,375,10:34
5.49,1012,10:35
5.5,972,10:36
5.51,329,10:37
5.5,534,10:38
5.5,581,10:39
5.5,398,10:40
5.49,49,10:41
5.5,216,10:42
5.51,90,10:43
5.5,404,10:44
5.5,738,10:45
5.5,527,10:46
5.52,424,10:47
5.53,411,10:48
5.53,1072,10:49
5.56,173,10:50
5.56,233,10:51
5.54,149,10:52
5.54,177,10:53
5.54,32,10:54
5.53,234,10:55
5.54,154,10:56
5.53,274,10:57
5.51,150,10:58
5.51,417,10:59
5.53,2628,11:00
5.54,282,11:01
5.54,110,11:02
5.55,768,11:03
5.54,745,11:04
5.54,68,11:05
5.53,18,11:06
5.53,30,11:07
5.53,194,11:08
5.53,159,11:09
5.54,52,11:10
5.53,1070,11:11
5.5,2839,11:12
5.53,648,11:13
5.52,202,11:14
5.49,1980,11:15
5.49,1223,11:16
5.5,424,11:17
5.5,1628,11:18
5.54,311,11:19
5.54,684,11:20
5.55,416,11:21
5.53,680,11:22
5.53,229,11:23
5.53,118,11:24
5.52,775,11:25
5.52,316,11:26
5.49,1609,11:27
5.5,1766,11:28
5.53,1060,11:29
5.53,223,11:30
5.5,3485,13:01
5.5,778,13:02
5.51,235,13:03
5.53,80,13:04
5.53,808,13:05
5.54,770,13:06
5.53,805,13:07
5.52,596,13:08
5.52,402,13:09
5.52,954,13:10
5.51,672,13:11
5.53,501,13:12
5.5,1288,13:13
5.5,1211,13:14
5.5,396,13:15
5.5,1029,13:16
5.5,914,13:17
5.5,198,13:18
5.5,1514,13:19
5.5,430,13:20
5.49,309,13:21
5.5,1045,13:22
5.5,703,13:23
5.5,497,13:24
5.51,1079,13:25
5.5,362,13:26
5.5,607,13:27
5.5,153,13:28
5.5,450,13:29
5.5,71,13:30
5.5,314,13:31
5.51,303,13:32
5.5,542,13:33
5.5,682,13:34
5.5,537,13:35
5.51,807,13:36
5.52,693,13:37
5.52,1257,13:38
5.5,152,13:39
5.5,22,13:40
5.5,78,13:41
5.49,143,13:42
5.49,74,13:43
5.5,662,13:44
5.5,429,13:45
5.51,315,13:46
5.51,540,13:47
5.5,924,13:48
5.49,83,13:49
5.5,137,13:50
5.5,343,13:51
5.5,241,13:52
5.5,455,13:53
5.5,176,13:54
5.5,147,13:55
5.51,163,13:56
5.51,129,13:57
5.52,75,13:58
5.52,142,13:59
5.52,158,14:00
5.52,47,14:01
5.52,512,14:02
5.5,1582,14:03
5.5,592,14:04
5.51,309,14:05
5.5,197,14:06
5.48,2912,14:07
5.44,1628,14:08
5.44,1179,14:09
5.45,583,14:10
5.45,663,14:11
5.44,842,14:12
5.45,1619,14:13
5.46,386,14:14
5.46,706,14:15
5.45,545,14:16
5.45,1057,14:17
5.47,101,14:18
5.49,331,14:19
5.47,910,14:20
5.47,578,14:21
5.47,151,14:22
5.47,41,14:23
5.46,129,14:24
5.47,625,14:25
5.47,179,14:26
5.47,486,14:27
5.46,619,14:28
5.47,53,14:29
5.47,33,14:30
5.47,404,14:31
5.48,618,14:32
5.49,500,14:33
5.49,78,14:34
5.48,271,14:35
5.48,444,14:36
5.47,133,14:37
5.47,92,14:38
5.47,385,14:39
5.48,220,14:40
5.49,1186,14:41
5.5,750,14:42
5.48,530,14:43
5.5,601,14:44
5.51,940,14:45
5.52,818,14:46
5.53,489,14:47
5.54,841,14:48
5.55,674,14:49
5.54,1163,14:50
5.52,2086,14:51
5.55,543,14:52
5.56,1212,14:53
5.55,768,14:54
5.56,2938,14:55
5.52,3426,14:56
5.55,839,14:57
5.53,27,14:58
5.53,0,14:59
5.55,1008,15:00
