price,vol,time
2.6,24580,09:31
2.63,13147,09:32
2.64,31478,09:33
2.64,17493,09:34
2.67,28943,09:35
2.66,39808,09:36
2.65,24950,09:37
2.65,7286,09:38
2.66,11075,09:39
2.65,9438,09:40
2.67,17724,09:41
2.67,13066,09:42
2.67,5658,09:43
2.66,1262,09:44
2.66,6130,09:45
2.66,7560,09:46
2.65,4171,09:47
2.65,6909,09:48
2.64,5388,09:49
2.64,5892,09:50
2.64,4254,09:51
2.62,3623,09:52
2.63,2676,09:53
2.63,3812,09:54
2.62,532,09:55
2.63,11860,09:56
2.62,2050,09:57
2.63,6081,09:58
2.63,2214,09:59
2.63,826,10:00
2.63,4230,10:01
2.64,2354,10:02
2.63,804,10:03
2.64,2415,10:04
2.64,1636,10:05
2.64,5267,10:06
2.64,2878,10:07
2.64,2943,10:08
2.65,4283,10:09
2.64,3220,10:10
2.64,1520,10:11
2.64,1807,10:12
2.64,1840,10:13
2.63,6395,10:14
2.62,6432,10:15
2.63,1362,10:16
2.62,1177,10:17
2.62,1872,10:18
2.62,2086,10:19
2.62,9739,10:20
2.61,3231,10:21
2.61,4002,10:22
2.61,3424,10:23
2.62,3008,10:24
2.61,2694,10:25
2.61,1560,10:26
2.62,547,10:27
2.62,3481,10:28
2.63,5574,10:29
2.62,822,10:30
2.62,8122,10:31
2.61,809,10:32
2.61,1182,10:33
2.62,928,10:34
2.61,2799,10:35
2.61,754,10:36
2.62,4733,10:37
2.61,4513,10:38
2.61,1230,10:39
2.62,1518,10:40
2.62,3687,10:41
2.62,2311,10:42
2.62,587,10:43
2.61,8362,10:44
2.61,489,10:45
2.61,2646,10:46
2.61,1908,10:47
2.61,869,10:48
2.62,1290,10:49
2.62,223,10:50
2.62,915,10:51
2.61,1418,10:52
2.61,780,10:53
2.61,226,10:54
2.61,942,10:55
2.61,3054,10:56
2.61,1449,10:57
2.62,6784,10:58
2.62,675,10:59
2.62,4892,11:00
2.62,3550,11:01
2.61,726,11:02
2.62,1932,11:03
2.61,1023,11:04
2.61,7320,11:05
2.6,2796,11:06
2.6,2560,11:07
2.61,1093,11:08
2.6,1010,11:09
2.61,1315,11:10
2.6,4180,11:11
2.6,1005,11:12
2.61,4564,11:13
2.6,855,11:14
2.6,3549,11:15
2.61,3370,11:16
2.61,5529,11:17
2.62,1618,11:18
2.62,2345,11:19
2.62,2243,11:20
2.62,1903,11:21
2.61,1253,11:22
2.61,943,11:23
2.61,1037,11:24
2.61,515,11:25
2.61,1479,11:26
2.62,548,11:27
2.61,1890,11:28
2.62,2005,11:29
2.61,74,11:30
2.61,987,13:01
2.62,989,13:02
2.61,944,13:03
2.62,909,13:04
2.61,3447,13:05
2.61,1801,13:06
2.61,4806,13:07
2.62,1263,13:08
2.61,2524,13:09
2.6,921,13:10
2.6,1865,13:11
2.6,664,13:12
2.6,653,13:13
2.6,1632,13:14
2.6,2047,13:15
2.6,3387,13:16
2.59,6869,13:17
2.6,7180,13:18
2.61,1225,13:19
2.61,1258,13:20
2.6,620,13:21
2.6,1114,13:22
2.61,4110,13:23
2.6,10056,13:24
2.6,1062,13:25
2.59,2325,13:26
2.59,601,13:27
2.6,330,13:28
2.59,1391,13:29
2.59,5541,13:30
2.6,1753,13:31
2.6,1968,13:32
2.6,1781,13:33
2.6,1347,13:34
2.6,1002,13:35
2.6,4516,13:36
2.62,11824,13:37
2.61,1477,13:38
2.63,27263,13:39
2.64,13282,13:40
2.64,7433,13:41
2.66,6964,13:42
2.65,17304,13:43
2.65,3603,13:44
2.64,1490,13:45
2.65,2811,13:46
2.66,10561,13:47
2.65,2594,13:48
2.66,9075,13:49
2.67,2696,13:50
2.66,6300,13:51
2.66,965,13:52
2.65,4791,13:53
2.65,4141,13:54
2.65,2179,13:55
2.65,1683,13:56
2.65,3206,13:57
2.64,640,13:58
2.65,1076,13:59
2.64,520,14:00
2.64,1614,14:01
2.64,1451,14:02
2.64,901,14:03
2.65,1457,14:04
2.63,2978,14:05
2.64,197,14:06
2.63,2098,14:07
2.64,480,14:08
2.63,3369,14:09
2.63,1641,14:10
2.64,748,14:11
2.64,238,14:12
2.64,6116,14:13
2.64,343,14:14
2.64,1107,14:15
2.64,2194,14:16
2.65,6137,14:17
2.64,1109,14:18
2.64,984,14:19
2.63,1015,14:20
2.63,2821,14:21
2.63,1533,14:22
2.64,711,14:23
2.64,875,14:24
2.65,2689,14:25
2.64,449,14:26
2.64,1115,14:27
2.64,350,14:28
2.64,3464,14:29
2.64,448,14:30
2.64,2338,14:31
2.63,845,14:32
2.63,1580,14:33
2.63,308,14:34
2.63,1301,14:35
2.63,6923,14:36
2.64,1016,14:37
2.63,1305,14:38
2.63,2107,14:39
2.64,1033,14:40
2.63,1234,14:41
2.63,7256,14:42
2.64,1817,14:43
2.64,1411,14:44
2.63,1127,14:45
2.63,539,14:46
2.63,1697,14:47
2.63,1208,14:48
2.62,7271,14:49
2.62,1371,14:50
2.61,11760,14:51
2.62,8086,14:52
2.61,2514,14:53
2.61,2671,14:54
2.62,4435,14:55
2.63,10392,14:56
2.64,2594,14:57
2.64,0,14:58
2.64,0,14:59
2.62,52183,15:00
